,RabbiID,FullName,City,Country,Period,YearOfBirth,YearOfDeath,KnownFor,Notes,Sources,PlaceOfBirth,PlaceOfPtira,knownAs,ImageUrl,YoBHebrew,YoPHebrew
319,10319,רבי דוד בן אברהם המצרי,קהיר,מצרים,המאה ה-14,0,0,פייטן וחכם,מתועד בגניזת קהיר המאוחרת,NLI,,,               ,NULL,       ,       
355,10355,רבי דוד בן יהודה מטבריה,טבריה,ארץ ישראל,המאה ה-14,0,0,דיין,נזכר בפנקסי מס טבריה,NLI,,,               ,NULL,       ,       
395,10395,רבי דוד בן מסעוד מרמדי,רמדי,בבל,המאה ה-14,0,0,חכם מקומי,נזכר במסמכי רמדי,JE,,,               ,NULL,       ,       
225,10225,רבי דוד בן ראובן מפרפיניאן,פרפיניאן,פרובאנס,המאה ה-14,0,0,חכם פרובנסלי,מתועד בפנקסי הקהילה,NLI,,,               ,NULL,       ,       
201,10201,רבי דוד בן שם־טוב,סרגוסה,אראגון,המאה ה-14,0,0,דרשן ומקובל,מוזכר בין חכמי אראגון,EJ,,,               ,NULL,       ,       
266,10266,רבי דוד בן שמואל מפראג,פראג,אשכנז,המאה ה-14,0,0,דיין ומורה,מוזכר ברשימות קהילת פראג,JE,,,               ,NULL,       ,       
248,10248,רבי דוד דל מאנאו,רומא,איטליה,המאה ה-14,0,0,מנהיג קהילה,נשיא ועד קהילת רומא,JE,,,               ,NULL,       ,       
293,10293,רבי דוד קנדיאנו,קנדיה,ביזנטיון,המאה ה-14,0,0,חכם מקובל,מוזכר בכתבי יהדות כרתים,EJ,,,               ,NULL,       ,       
652,10652,רבי דן בן יוסף האשכנזי,,,,,,,,,,,,,,
35,10035,רבי דניאל בן יהודה מרומי,רומא,איטליה,המאה ה-11,1020,1080,פיוטיו כלולים במחזורי איטליה; המשיך דרכו של רבי אלעזר הקליר,מגדולי הפייטנים האיטלקים המאוחרים; פעל בדור שלפני רבי נתן בן יחיאל,"אוצר הפיוט; מחזור ויטרי; סה""ד",רומא,רומא,               ,NULL,       ,       
58,10058,רבי הלל בן אחיקים מיון,ליון,צרפת,המאה ה-12,1115,1190,מגדולי תלמידי רבי יצחק בן מרדכי; ידוע כחכם משכיל ומעמיק בתלמוד,חי בתקופת בעלי התוספות ועמד בקשר עם חכמי ספרד ופרובנס,"סה""ד; ס""י",יון,יון,               ,NULL,       ,       
267,10267,רבי זכריה בן שמעון מנירנברג,נירנברג,אשכנז,המאה ה-14,0,0,חכם אשכנזי,מוזכר במסמכי נירנברג,NLI,,,               ,NULL,       ,       
59,10059,רבי זרחיה הלוי מגירונה,גירונה,קטלוניה,המאה ה-12,1125,1186,מחבר ספר המאור; מבקרו של הרי״ף,ממניחי יסוד הדיון הביקורתי ההלכתי; חי בצעירותו בספרד ולאחר מכן בפרובנס,ספר המאור; הקדמת הרמב״ן לספר המאור,גירונה,לוניל,בעל המאור      ,NULL,       ,       
20,10020,רבי חושיאל בן אלחנן,קיירואן,תוניסיה,המאה ה-10,940,1000,מראשוני ארבעת השבויים; ייסד את ישיבת קיירואן,אביו של רב חננאל בן חושיאל; הפיץ את תורת בבל בצפון אפריקה,"ספר הקבלה לראב״ד; סה""ד",בבל,קיירואן,               ,NULL,       ,       
384,10384,רבי חיים בן יחיא הבגדדי,בגדד,בבל,המאה ה-14,0,0,דיין,שמו נזכר בפנקסי בית הדין,EJ,,,               ,NULL,       ,       
85,10085,רבי חיים בן יצחק,וינה,אשכנז,המאה ה-13,1220,1300,בן בעל האור זרוע; פוסק עצמאי ובעל חידושים,ממשיך מסורת אביו והעביר את מורשת האור זרוע לדורות שאחריו; מצוטט ע״י תלמידי הרא״ש,"סה""ד; ס""י; מבוא מהדורת אור זרוע",וינה,וינה,אור זרוע הקצר,NULL,       ,       
322,10322,רבי חיים בן יצחק הכהן,קהיר,מצרים,המאה ה-14,0,0,חכם מקומי,נזכר במסמכי קהיר,NLI,,,               ,NULL,       ,       
364,10364,רבי חיים הכהן מדמשק,דמשק,סוריה,המאה ה-14,0,0,חכם ודרשן,נזכר בכתבי דרש מקומיים,EJ,,,               ,NULL,       ,       
24,10024,רבי חנוך בן משה,קורדובה,ספרד,המאה ה-10,965,1014,בנו ותלמידו של רבי משה בן חנוך; ראש ישיבת קורדובה אחריו,עמד בראש ישיבת קורדובה עד מותו הטרגי בבית הכנסת; נחשב יורשו של אביו במנהיגות תורנית,"ספר הקבלה לראב״ד; סה""ד",קורדובה,קורדובה,               ,NULL,       ,       
252,10252,רבי חנניה בן שאול מטראני,טראני,איטליה,המאה ה-14,0,0,פוסק ורופא,מן הדמויות הקדומות לשושלת מטרני,EJ,,,               ,NULL,       ,       
194,10194,רבי יהודה אבן שושן,טולדו,קסטיליה,המאה ה-14,0,0,פוסק ספרדי,מוזכר בתקנות טולדו,JE,,,               ,NULL,       ,       
317,10317,רבי יהודה אל־פאסי מטריפולי,טריפולי,לוב,המאה ה-14,0,0,מורה הוראה,חכם ידוע בקהילת טריפולי,NLI,,,               ,NULL,       ,       
55,10055,רבי יהודה אלברגלוני,ברצלונה,ספרד,המאה ה-11,1070,1135,מחבר ספר העיתים; מבאר תפילות ומנהגים על פי התלמוד והמסורת הבבלית,חי בדור שבין הרי״ף לראב״ד הראשון; השפיע על סידור התפילה הספרדי,"ספר העיתים; סה""ד",ברצלונה,ברצלונה,העיתים         ,NULL,       ,       
373,10373,רבי יהודה בן אברהם מאמס,אמס,סוריה,המאה ה-14,0,0,חכם מקומי,מוזכר בספרות הגניזה הסורית,EJ,,,               ,NULL,       ,       
81,10081,רבי יהודה בן יצחק מפאריס,פאריס,צרפת,המאה ה-13,1190,1250,תלמיד רבי יחיאל מפאריס; השתתף בוויכוח פריז נגד הנוצרים (1240),נמנה עם בעלי התוספות המאוחרים בצרפת; עוסק בהגנת היהדות ובפולמוסים,"סה""ד; ס""י; תולדות בעלי התוספות",פאריס,פאריס,               ,NULL,       ,       
601,10601,רבי יהודה בן יקר,ברצלונה,קטלוניה,המאה ה-14,1250,1320,מראשי הישיבה בברצלונה,מורהו של הרמב״ן הצעיר ושל בני דורו.,EJ,ברצלונה,ברצלונה,               ,NULL,       ,       
210,10210,רבי יהודה בן משה מטולדו,טולדו,קסטיליה,המאה ה-14,0,0,ראש קהל טולדו,פעיל בדיינות המקומית,EJ,,,               ,NULL,       ,       
223,10223,רבי יהודה בן שלמה מנרבונה,נרבונה,פרובאנס,המאה ה-14,0,0,דיין וחכם,מוזכר ברשומות קהילת נרבון,EJ,,,               ,NULL,       ,       
327,10327,רבי יהודה בן שמואל בן סעדיה,קהיר,מצרים,המאה ה-14,0,0,דיין,מוזכר במסמכים משפטיים,EJ,,,               ,NULL,       ,       
74,10074,רבי יהודה בן שמואל החסיד,רגנסבורג,אשכנז,המאה ה-12,1150,1217,מנהיג חסידי אשכנז; מחבר ספר חסידים,נכדו הרוחני של בית קלונימוס; ייסד את הזרם המיסטי־מוסרי באשכנז,"ספר חסידים; ס""י; סה""ד",שפיירא,רגנסבורג,רבי יהודה החסיד,NULL,       ,       
302,10302,רבי יהודה בן תנא,פאס,מרוקו,המאה ה-14,0,0,פוסק מקומי,מוזכר בשו״ת הריב״ש,NLI,,,               ,NULL,       ,       
347,10347,רבי יהודה החברוני,חברון,ארץ ישראל,המאה ה-14,0,0,דיין,נזכר ברשומות חברון,EJ,,,               ,NULL,       ,       
645,10645,רבי יהודה החסיד,רגנסבורג,גרמניה,חסידי אשכנז,1140,1217,מחבר ספר חסידים,,,רגנסבורג,רגנסבורג,רבי יהודה החסיד,,       ,       
51,10051,רבי יהודה הלוי,קורדובה,ספרד,המאה ה-11,1075,1141,פילוסוף ומשורר; מחבר ספר הכוזרי,עלה לארץ ישראל לעת זקנתו,ספר הכוזרי,קורדובה,ארץ ישראל,הכוזרי         ,NULL,       ,       
242,10242,רבי יהודה מסיינה,סיינה,איטליה,המאה ה-14,0,0,רב קהילה,חכם ממסמכי עיריית סיינה,NLI,,,               ,NULL,       ,       
283,10283,רבי יהודה צמח מסלוניקי,סלוניקי,ביזנטיון,המאה ה-14,0,0,פייטן וחכם,מוזכר בדברי ימי קהילת סלוניקי,JE,,,               ,NULL,       ,       
50,10050,רבי יהונתן מלוניל,לוניל,פרובנס,המאה ה-12,1135,1220,פרשן תלמוד; מצוטט ע״י הרמב״ן והרא״ש,חיבר פירוש על רוב מסכתות התלמוד,פירוש הר״י מלוניל למסכת בבא קמא,לוניל,לוניל,ר״י מלוניל     ,NULL,       ,       
378,10378,רבי יהושע בן אלחסאן הבגדדי,בגדד,בבל,המאה ה-14,0,0,ראש קהילת בגדד,נזכר במסמכים בגדדיים מהמאה ה-14,EJ,,,               ,NULL,       ,       
270,10270,רבי יואל בן יצחק מהלברשטאט,הלברשטאט,אשכנז,המאה ה-14,0,0,דיין ודרשן,מוזכר ברשימות הקהילה,NLI,,,               ,NULL,       ,       
501,10501,רבי יום־טוב בן אברהם אשבילי ,ברצלונה,קטלוניה,המאה ה-14,0,0,מגדולי פרשני התלמוד בספרד; בעל חידושי הריטב״א,נולד באשביליה ופעל בברצלונה; מתלמידי בית מדרשו של הרשב״א ושל הרא״ה.,EJ; JE,אשביליה,ברצלונה,הריטב״א,NULL,       ,       
304,10304,רבי יוסף אבן טבון מפאס,פאס,מרוקו,המאה ה-14,0,0,מעתיק וחכם,משפחת אבן טבון – שושלת מעתיקים ידועה,EJ,,,               ,NULL,       ,       
52,10052,רבי יוסף אבן מיגאש,לוצנה,ספרד,המאה ה-11,1077,1141,תלמיד הרי״ף; רבו של הרמב״ם הצעיר,ירש את מקומו של הרי״ף בישיבה,"סה""ד; תשובות הרי״מ גאש",אליסנה,אליסנה,"ר""י מיגאש      ",NULL,       ,       
329,10329,רבי יוסף בן אברהם אלכסנדרוני,אלכסנדריה,מצרים,המאה ה-14,0,0,חכם ומורה,מוזכר במקורות משפטיים,JE,,,               ,NULL,       ,       
370,10370,רבי יוסף בן אברהם מטריפולי הסורית,טריפולי,סוריה,המאה ה-14,0,0,חכם ופוסק,מופיע ברשומות טריפולי הצפונית,EJ,,,               ,NULL,       ,       
222,10222,רבי יוסף בן אברהם מנרבונה,נרבונה,פרובאנס,המאה ה-14,0,0,פוסק מקומי,נזכר בין דייני העיר,NLI,,,               ,NULL,       ,       
393,10393,רבי יוסף בן חיים מכרמאנשאה,כרמאנשאה,בבל,המאה ה-14,0,0,חכם מקומי,נזכר בתיעוד קהילות כרמאנשאה,EJ,,,               ,NULL,       ,       
359,10359,רבי יוסף בן ישראל הדמשקאי,דמשק,סוריה,המאה ה-14,0,0,דיין,מסמכים קהילתיים מזכירים את תפקידו כדיין,NLI,,,               ,NULL,       ,       
212,10212,רבי יוסף בן לוי הספרדי,סרגוסה,אראגון,המאה ה-14,0,0,מורה הוראה,מוזכר ברשימות אראגון,JE,,,               ,NULL,       ,       
620,10620,רבי יוסף בן מנחם מנרבונה,נרבונה,פרובאנס,המאה ה-14,1290,1350,מלומד מחכמי פרובאנס המאוחרים,נזכר באגרות פרובאנס.,JE,נרבונה,נרבונה,               ,NULL,       ,       
340,10340,רבי יוסף בן נסים הירושלמי,ירושלים,ארץ ישראל,המאה ה-14,0,0,חכם ירושלמי,מתועד בכתבי הקהילה הירושלמית,JE,,,               ,NULL,       ,       
231,10231,רבי יוסף בן עזרא מפרובאנס,מונפלייה,פרובאנס,המאה ה-14,0,0,חכם מקומי,לא קשור למשפחת אבן־עזרא הספרדית,JE,,,               ,NULL,       ,       
287,10287,רבי יוסף בן עזריה מסלוניקי,סלוניקי,ביזנטיון,המאה ה-14,0,0,מנהיג קהילה,מוזכר במסמכי בית הדין של סלוניקי,EJ,,,               ,NULL,       ,       
62,10062,רבי יוסף בן רש״י,טרואה,צרפת,המאה ה-11,1070,1115,בנו של רש״י; תלמידו ומעתיק דבריו; נזכר בתוספות ובספר הישר,כתב הערות וביאורים לפירוש אביו; שימש כרב בטרואה,"סה""ד; ספר היוחסין",טרואה,טרואה,               ,NULL,       ,       
606,10606,רבי יוסף בן שושן,ברצלונה,קטלוניה,המאה ה-14,1270,1330,תלמיד הרשב״א,מופיע בתשובות הרשב״א כתלמידו.,EJ,ברצלונה,ברצלונה,               ,NULL,       ,       
350,10350,רבי יוסף בן שלמה מעכו,עכו,ארץ ישראל,המאה ה-14,0,0,חכם ופוסק,מוזכר במסמכי עולי רגל,JE,,,               ,NULL,       ,       
250,10250,רבי יוסף בן שלמה מפיזה,פיזה,איטליה,המאה ה-14,0,0,ראש קהל פיזה,נזכר במסמכי העיר,NLI,,,               ,NULL,       ,       
